,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
15,121.0:2022-07-03 18:12:46.332,10.0 Trials,CONTROL FEEDBACK,399.91297709923685,425.7095238095238,389.61999999999995,406.97142857142853,419.83000000000004,406.1947368421053,394.4999999999999,399.5253623188404
16,122.0:2022-07-01 15:05:44.513,5.0 Trials,CONTROL FEEDBACK,443.86800000000005,438.89047619047625,465.5921052631579,430.4421052631579,438.07499999999993,436.36486486486484,439.8875,436.4491803278688
17,124.0:2022-07-01 14:25:47.985,5.0 Trials,CONTROL FEEDBACK,416.4485714285714,428.9125,412.06046511627903,420.8743589743589,407.5243243243243,414.9390243902439,401.08809523809526,374.8328571428573
18,125.0:2022-07-02 21:01:11.886,10.0 Trials,CONTROL FEEDBACK,436.53852459016395,432.98,455.475,447.66999999999996,421.98421052631585,421.97142857142853,420.25499999999994,424.7333333333333
19,128.0:2022-07-01 15:41:27.566,5.0 Trials,CONTROL FEEDBACK,353.80281690140845,362.35135135135135,375.9761904761905,367.7,354.23809523809524,360.0487804878049,364.83720930232556,366.5571428571429
20,134.0:2022-07-01 16:17:22.420,5.0 Trials,CONTROL FEEDBACK,477.1896551724139,467.1230769230766,466.16499999999985,469.7459459459459,471.51052631578943,476.9874999999999,475.9128205128205,477.3482142857144
21,135.0:2022-07-01 16:35:45.981,10.0 Trials,CONTROL FEEDBACK,460.22919715328464,447.47222216666677,461.49000005000005,467.75238099999996,458.7136362272726,457.3681818181818,433.6842103684211,457.4546763021583
22,136.0:2022-07-01 17:21:29.299,5.0 Trials,CONTROL FEEDBACK,472.4573529411767,487.7512195121951,499.1928571428571,490.9799999999999,462.8690476190476,460.5815789473685,464.4476190476191,439.92575757575764
23,138.0:2022-07-02 19:12:44.681,5.0 Trials,CONTROL FEEDBACK,534.6622222222222,548.5999999999999,559.5941176470586,567.8736842105263,539.8512195121951,535.7461538461539,500.0435897435897,536.9264705882352
24,140.0:2022-07-04 12:29:46.638,5.0 Trials,CONTROL FEEDBACK,388.27288135593216,396.2724999999999,406.2184210526316,399.125,401.6589743589744,387.825641025641,383.5823529411765,378.0326530612246
25,141.0:2022-07-03 15:27:23.353,10.0 Trials,CONTROL FEEDBACK,435.21681415929186,460.4368421052631,460.9111111111112,422.27222222222224,439.5476190476192,442.5,424.5526315789473,416.8831999999999
26,142.0:2022-07-04 09:04:46.499,5.0 Trials,CONTROL FEEDBACK,423.1714285714284,434.7511627906977,430.87499999999994,425.3795454545454,415.5073170731706,429.95581395348836,428.6511627906977,419.7802469135803
27,143.0:2022-07-07 10:54:11.418,10.0 Trials,CONTROL FEEDBACK,448.1548872180452,424.62,445.4380952380953,451.93500000000006,455.6761904761904,446.22857142857146,429.5904761904762,427.9600000000001
28,144.0:2022-07-04 21:48:26.797,5.0 Trials,CONTROL FEEDBACK,426.1397435897437,416.0465116279069,405.0666666666667,427.63809523809533,415.9886363636364,412.213953488372,407.7348837209301,405.8710843373494
29,146.0:2022-07-03 20:57:13.025,5.0 Trials,CONTROL FEEDBACK,464.6298507462686,455.14750000000004,464.03658536585357,459.7055555555556,439.51538461538456,432.16666666666674,435.4846153846153,436.43684210526334
30,147.0:2022-07-03 13:04:25.135,10.0 Trials,CONTROL FEEDBACK,403.06397058823546,423.54285714285714,403.0333333333333,428.07368421052644,420.05,408.3809523809524,414.58571428571423,393.000684931507
31,148.0:2022-07-04 20:51:51.235,5.0 Trials,CONTROL FEEDBACK,379.0625,361.11250000000007,375.17179487179493,386.03846153846155,373.79999999999995,362.09761904761905,356.29512195121947,358.7
32,150.0:2022-07-07 16:49:42.513,5.0 Trials,CONTROL FEEDBACK,529.3710843373492,522.4488372093024,522.1999999999998,533.1522727272728,527.4325000000001,520.360465116279,514.4025,519.5098765432099
33,151.0:2022-07-07 11:00:13.162,10.0 Trials,CONTROL FEEDBACK,419.77049180327873,415.5950000000001,414.6411764705882,391.98,424.7333333333333,403.285,408.01818181818174,413.5954954954955
34,152.0:2022-07-11 12:53:02.299,5.0 Trials,CONTROL FEEDBACK,449.2683333333334,434.89487179487185,440.6875000000001,459.20512820512823,467.7046511627907,461.4674418604651,457.66499999999996,454.9555555555555
35,154.0:2022-07-06 14:30:56.100,5.0 Trials,CONTROL FEEDBACK,443.03611111111115,408.2315789473684,434.4853658536585,447.2116279069766,435.10232558139546,418.9853658536585,442.39767441860477,428.00759493670904
