,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
77,36115:2023-06-15 10:22:31.463,10 Trials,CONTROL FEEDBACK,398.5190839694657,391.43999999999994,404.4761904761905,395.40999999999997,394.05,415.96818181818185,404.42857142857144,388.64740740740746
78,36154:2022-08-16 11:01:53.234,5 Trials,CONTROL FEEDBACK,404.72340425531905,409.0729729729729,388.2536585365853,402.89743589743586,411.8722222222222,410.1853658536586,420.828947368421,397.54901960784315
79,36199:2022-08-17 01:56:25.847,10 Trials,CONTROL FEEDBACK,488.01964285714274,475.5526315789473,484.5142857142857,485.83684210526326,472.7499999999999,479.6666666666667,470.12857142857126,466.92792792792784
80,361:2022-07-22 18:11:42.731,10 Trials,CONTROL FEEDBACK,601.3244094488188,587.3736842105263,576.91,582.1857142857143,591.7611111111111,569.0368421052632,578.45,573.2408695652172
81,36226:2023-05-28 12:12:08.381,5 Trials,CONTROL FEEDBACK,366.1363636363637,376.6432432432432,369.9717948717949,376.3666666666667,375.36896551724146,373.0055555555556,385.4,360.4461538461538
82,363:2022-07-24 22:31:21.251,10 Trials,CONTROL FEEDBACK,388.0669291338582,404.73809523809524,375.51666666666665,391.67368421052635,377.42380952380944,389.20000000000005,386.8952380952381,380.5920289855074
83,36442:2023-03-05 14:33:48.308,5 Trials,CONTROL FEEDBACK,358.71538462820513,341.1534883953488,344.59772722727274,356.5977270909091,364.9000000232558,354.26279079069775,343.6142855714286,356.6129411882353
84,36475:2023-07-12 15:28:20.795,10 Trials,CONTROL FEEDBACK,376.5295918367347,361.42,373.88000000000005,390.8166666666668,390.8666666666666,381.86842105263156,371.88750000000005,375.29677419354834
85,36556:2023-05-05 14:21:14.675,5 Trials,CONTROL FEEDBACK,371.1084337349397,370.79047619047617,373.839534883721,378.06249999999994,378.0119047619047,376.36511627906975,377.3395348837209,376.4226666666666
86,365:2022-07-24 14:43:46.824,10 Trials,CONTROL FEEDBACK,452.47190082644624,441.125,454.62272727272733,436.0,449.0894736842105,436.99473684210534,468.13529411764705,438.73035714285714
87,36652:2022-10-09 17:56:21.036,5 Trials,CONTROL FEEDBACK,494.1629032258063,485.05250000000007,480.84499999999997,495.44999999999993,487.19069767441835,468.371794871795,490.60000000000014,474.72878787878795
88,366:2022-07-24 20:02:15.916,5 Trials,CONTROL FEEDBACK,424.6616666666666,410.3658536585366,428.21500000000003,399.025,396.82499999999993,414.49249999999984,422.64,400.3260869565217
89,367:2022-07-26 14:33:04.844,10 Trials,CONTROL FEEDBACK,439.79238095238094,424.11111111111114,420.9,455.9055555555555,444.93500000000006,453.6350000000001,448.27222222222224,441.66699029126215
90,368:2022-07-24 17:18:26.555,5 Trials,CONTROL FEEDBACK,361.5584415584416,355.9761904761905,360.8809523809524,368.8,370.1162790697674,367.65909090909093,356.1818181818182,358.26027397260276
91,369:2022-07-26 11:12:36.747,10 Trials,CONTROL FEEDBACK,373.0422018348622,394.86315789473684,396.6388888888889,366.80500000000006,359.32631578947365,368.41176470588243,369.7619047619047,371.1042735042736
92,372:2022-07-29 16:52:35.248,5 Trials,CONTROL FEEDBACK,476.3058823529412,490.1190476190476,480.7142857142857,474.42857142857144,483.5681818181818,480.30232558139534,476.1136363636364,476.5882352941176
93,374:2022-08-02 12:18:06.076,5 Trials,CONTROL FEEDBACK,389.43026315789484,426.45853658536583,403.74418604651163,399.3902439024391,390.91463414634137,420.2951219512196,393.88780487804877,413.8012987012986
94,375:2022-08-01 16:05:34.699,10 Trials,CONTROL FEEDBACK,412.46614173228335,416.6473684210527,417.92380952380944,424.19047619047626,392.8476190476191,410.340909090909,417.37272727272733,411.6286713286709
95,376:2022-08-01 16:51:17.913,5 Trials,CONTROL FEEDBACK,419.1324675324677,420.05952380952397,413.70465116279075,415.65999999999997,415.03720930232555,422.779069767442,414.83658536585375,422.09493670886076
96,378:2022-08-01 19:17:54.920,5 Trials,CONTROL FEEDBACK,588.24,594.797435897436,601.4205882352941,605.7942857142857,600.2771428571426,607.6441176470589,608.6457142857143,589.919642857143
97,379:2022-08-03 16:20:31.999,10 Trials,CONTROL FEEDBACK,441.8271999999999,441.79999999999995,427.0736842105264,425.59,420.9578947368421,426.3727272727272,431.395,447.18760330578493
98,38137:2022-07-31 11:44:09.646,10 Trials,CONTROL FEEDBACK,407.8440000000001,374.27619047619044,395.57727272727277,412.8863636363636,405.02857142857147,417.4428571428571,410.0190476190476,390.61013513513524
99,38278:2022-07-14 23:11:08.287,5 Trials,CONTROL FEEDBACK,389.3123076923076,409.81794871794875,417.0393939393938,375.4205128205128,393.25000000000006,382.4236842105264,395.06410256410254,381.0984848484848
100,383:2022-08-04 13:55:00.768,10 Trials,CONTROL FEEDBACK,423.6416666666665,431.62380952380954,404.8809523809524,409.26190476190476,422.2631578947368,422.51818181818186,436.95454545454555,420.5379562043794
101,38500:2022-08-04 12:22:40.539,5 Trials,CONTROL FEEDBACK,397.5317073170731,393.50857142857143,393.30857142857144,407.1137931034483,379.69310344827585,364.21578947368414,369.0470588235294,355.4228571428571
102,38512:2022-08-04 11:46:56.656,5 Trials,CONTROL FEEDBACK,450.3102040816326,476.14571428571423,456.3382352941176,443.5,474.76285714285706,477.26428571428596,472.7135135135135,448.68571428571437
103,385:2022-08-09 12:21:35.857,10 Trials,CONTROL FEEDBACK,355.4693548387097,352.1380952380952,361.74,360.74210526315795,346.2352941176471,358.42777777777775,346.16666666666674,351.152032520325
104,386:2022-08-04 14:11:04.584,5 Trials,CONTROL FEEDBACK,465.06315789473666,446.1309523809524,448.29999999999995,447.85526315789485,454.4,442.4871794871795,444.8375,469.40312499999993
105,38764:2022-11-11 12:54:39.257,5 Trials,CONTROL FEEDBACK,454.86714285714277,435.4214285714286,440.5690476190476,420.7925,428.37619047619046,421.30277777777775,437.30000000000007,444.91475409836073
106,38842:2023-05-13 16:08:01.659,5 Trials,CONTROL FEEDBACK,408.30161290322593,411.4775000000001,413.2250000000001,424.0874999999999,413.1783783783784,406.50952380952384,409.0424999999999,421.90000000000003
