,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
82,37576:2022-05-30 15:00:19.221,5 Trials,CONTROL FEEDBACK,524.8102564102566,519.7086956521741,539.6022727272727,534.1473684210525,530.5473684210524,528.1222222222221,527.1200000000001,535.2421052631579
83,37585:2022-05-24 23:13:31.261,10 Trials,CONTROL FEEDBACK,437.2436363636365,446.9533333333333,438.52592592592595,437.2499999999999,426.021052631579,425.0275862068966,405.4095238095238,370.45
84,37600:2022-05-29 20:27:10.791,5 Trials,CONTROL FEEDBACK,423.78181818181815,422.8711864406779,419.7666666666667,383.2388888888889,399.28648648648647,397.44333333333327,426.77727272727276,429.3478260869565
85,37639:2022-08-23 14:06:00.807,10 Trials,CONTROL FEEDBACK,510.87166666666667,483.7137931034482,481.06842105263144,479.33809523809526,495.2619047619047,487.58750000000003,467.2928571428571,468.67999999999995
86,37714:2022-06-12 11:44:56.714,5 Trials,CONTROL FEEDBACK,430.6371794871794,426.75230769230785,426.76444444444445,416.4739130434783,427.4604651162791,433.77428571428567,400.2290322580645,389.71538461538455
87,37858:2022-08-03 20:42:21.964,5 Trials,CONTROL FEEDBACK,454.2844155844155,443.00862068965506,472.47619047619054,433.0551724137931,473.2923076923077,436.88499999999993,470.7562500000001,420.68648648648656
88,38275:2022-08-07 19:12:42.915,10 Trials,CONTROL FEEDBACK,411.19159663865537,417.62820512820514,438.4400000000001,403.8450000000001,418.1049999999999,383.31428571428575,410.2490196078433,393.15416666666664
89,38452:2022-08-21 13:14:33.291,5 Trials,CONTROL FEEDBACK,485.2892307692308,501.10192307692313,490.6956521739131,467.4130434782609,480.0574999999999,472.98684210526307,465.95624999999995,458.1903225806453
90,38587:2022-08-18 09:49:34.998,10 Trials,CONTROL FEEDBACK,442.80081967213135,451.90322580645164,437.3333333333333,440.74999999999994,417.1111111111111,420.49629629629624,423.5425,413.94200000000006
91,38674:2022-08-24 12:28:05.181,5 Trials,CONTROL FEEDBACK,494.84651162790703,532.6967213114756,479.61081081081085,506.9105263157894,455.4914285714286,504.79354838709673,457.00999999999993,451.9722222222223
92,7051:2022-03-10 21:26:31.218,10 Trials,CONTROL FEEDBACK,483.8194915254237,489.38275862068963,490.648275862069,483.25454545454556,484.43478260869557,499.71200000000005,483.96744186046527,466.9016393442624
