patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment,paper
5,True,CONTROL FEEDBACK,-16.435381665863584,19.15261960413505,42,429.84622729225833,446.2816089581219,31.7930768946862,38.652376125846814,-0.8478497449779452,-1.197476785475055,-0.4905736980888662,-5.494694348413295,1.1287572770120378e-06,0.8698923487444694,7.548367536669e-14,e1,relevance
10,False,CONTROL FEEDBACK,7.713933303511419,23.519418513218582,41,456.79391991889446,449.0799866153831,47.04862350128717,41.63096403939603,0.3239569986042348,0.0078698132735479,0.6362055838436553,2.074336909648776,0.0445266987064839,0.8662844025890195,2.553432032727388e-13,e1,relevance
10,True,CONTROL FEEDBACK,-16.307252751004143,19.19957458664982,41,425.0661995312148,441.373452282219,44.71528376502359,45.41223059229678,-0.838932972682225,-1.1917869323704142,-0.478281981313603,-5.371792050963145,1.7989136563248124e-06,0.9093533530394028,1.942417399831043e-16,e1,relevance
5,False,CONTROL FEEDBACK,7.193774195025915,20.842674805981577,37,407.3867097263459,400.19293553132,50.10233158683836,48.236526947548526,0.3404503127092691,0.0066145851183643,0.6698291795515124,2.070878405576254,0.0455981084423574,0.9108443895767254,5.176372451882122e-15,e2,relevance
5,True,CONTROL FEEDBACK,-21.596034354521645,24.650831207989327,37,369.6887013806007,391.2847357351224,46.78019553575455,47.93689028618167,-0.8641573538204405,-1.2384243992195003,-0.4811140143148909,-5.256463972100636,3.423887534889488e-06,0.8648101849856171,5.171707430141018e-12,e2,relevance
10,False,CONTROL FEEDBACK,34.19389123317918,32.92229464034858,38,441.6689571904532,407.475065957274,54.29414078694956,54.26685161291385,1.024866959694645,0.6262951585471244,1.4142812942319043,6.317704237521911,2.3347708471443034e-07,0.8160658753048863,4.2832566981791527e-10,e2,relevance
10,True,CONTROL FEEDBACK,-17.2366897045764,37.7234688414626,38,377.66463133507807,394.9013210396544,49.35641993751278,52.5688380052443,-0.4508699655851167,-0.78213140229987,-0.1140859828444189,-2.7793491293710337,0.0042549322111905,0.7277547174116581,2.2548058634186254e-07,e2,relevance
5,False,CONTROL FEEDBACK,-0.3262144766091416,17.031059092259877,69,445.2189392431714,445.5451537197806,50.145677797571125,47.28124240918488,-0.019014787891183,-0.2549185804981289,0.217028629313204,-0.1579486908452268,0.8749653356860375,0.940561380475183,3.88998062554868e-33,e3,relevance
5,True,CONTROL FEEDBACK,-11.39620225955925,17.473260268528353,69,424.51406725047474,435.9102695100339,45.151792108603125,47.99580156168611,-0.6474647269448048,-0.9052376452849402,-0.3857353120645094,-5.378245951237451,4.994458440444533e-07,0.9314228875077082,4.037146326594079e-31,e3,relevance
10,False,CONTROL FEEDBACK,6.68376111432898,18.17583354846921,65,449.0430333244724,442.3592722101434,46.57305051942021,45.60749444622597,0.3648882605192158,0.1123972326436432,0.6147086535696413,2.9418232056342277,0.0045387932260984,0.9224538142425904,9.932395278123735e-28,e3,relevance
10,True,CONTROL FEEDBACK,-12.791285124642354,24.928871369908244,65,423.5196031050598,436.3108882297022,47.15946594387938,47.801998648212354,-0.509148972513871,-0.765935045443348,-0.248832710322151,-4.104890248688202,5.840263019780681e-05,0.8622563165192006,2.8160142855644993e-20,e3,relevance
