,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
150,429:2022-09-28 23:15:16.918,10 Trials,CONTROL FEEDBACK,450.5021428571427,445.140909090909,433.852380952381,450.60476190476186,445.80499999999995,465.73499999999996,433.625,462.518656716418
151,433:2022-10-07 16:36:07.952,10 Trials,CONTROL FEEDBACK,434.03165467625877,429.27142857142854,472.418181818182,434.56818181818176,432.45,402.7526315789475,423.04999999999995,424.1653846153846
152,434:2022-10-07 14:12:44.053,5 Trials,CONTROL FEEDBACK,437.4113207547171,428.85,418.35526315789474,456.9736842105263,416.4702702702703,425.98461538461544,444.6789473684211,422.60400000000004
153,436:2022-10-10 19:50:33.240,5 Trials,CONTROL FEEDBACK,385.664406779661,395.33170731707327,388.0794871794872,391.0837837837838,369.3951219512195,377.76842105263154,374.5048780487806,382.35692307692307
154,440:2022-10-22 16:11:56.515,5 Trials,CONTROL FEEDBACK,435.49384615384616,435.25714285714287,447.17105263157896,436.59756097560967,428.6125,431.4976190476191,448.3414634146341,412.2968253968253
155,442:2022-11-03 12:38:09.052,5 Trials,CONTROL FEEDBACK,460.8901234567902,456.85227272727275,473.26363636363624,459.33409090909083,451.2099999999999,463.79069767441854,451.40714285714284,464.5090909090908
156,443:2022-10-28 18:41:03.287,10 Trials,CONTROL FEEDBACK,393.3,400.9000000000001,396.2222222222223,406.555,390.0619047619049,411.0,398.26,391.77007874015715
157,444:2022-10-29 13:40:26.165,5 Trials,CONTROL FEEDBACK,405.4565789473685,403.40731707317065,404.6119047619048,404.8121951219513,400.14883720930237,392.1166666666668,398.97804878048777,397.87285714285724
158,447:2022-11-03 11:27:28.183,10 Trials,CONTROL FEEDBACK,406.22968749999995,411.58947368421053,435.05294117647054,381.5210526315789,402.46190476190486,411.1666666666667,430.5449999999999,392.1844961240311
159,448:2022-11-03 15:51:21.568,5 Trials,CONTROL FEEDBACK,341.25492957746485,320.71538461538466,328.5048780487804,343.1285714285715,354.48809523809524,334.97560975609747,337.75999999999993,324.87384615384605
160,450:2022-11-07 10:14:37.493,5 Trials,CONTROL FEEDBACK,454.3447761194029,438.67674418604656,457.69249999999994,435.51750000000004,442.40487804878035,440.38,434.8048780487805,438.61076923076917
161,452:2022-11-05 12:35:56.454,5 Trials,CONTROL FEEDBACK,379.9246575342466,368.3536585365853,369.18205128205136,358.21578947368414,371.00263157894744,376.7463414634147,364.3175,360.28115942028967
162,453:2022-11-04 16:29:26.174,10 Trials,CONTROL FEEDBACK,417.1375,401.73500000000007,426.48499999999996,410.0578947368422,413.8857142857144,380.7823529411765,403.2833333333333,411.83854166666674
163,455:2022-11-06 12:52:42.869,10 Trials,CONTROL FEEDBACK,389.1076923076925,403.9263157894737,410.2952380952381,366.82499999999993,382.75000000000006,382.6315789473685,385.15500000000003,386.28507462686565
164,456:2022-11-04 14:45:50.051,5 Trials,CONTROL FEEDBACK,487.9175675675676,499.4153846153847,514.3461538461539,500.4317073170732,510.78139534883724,506.96578947368425,512.9285714285714,475.26400000000007
165,457:2022-11-04 11:58:23.037,10 Trials,CONTROL FEEDBACK,355.11076923076905,362.5952380952381,377.16,383.9095238095238,358.4333333333333,342.08,336.73157894736835,345.143650793651
166,459:2022-11-04 17:06:32.970,10 Trials,CONTROL FEEDBACK,445.7393162393162,459.3578947368422,438.3100000000001,447.56666666666666,458.605,454.2684210526315,417.37272727272733,433.0999999999999
167,460:2022-11-18 09:10:24.272,5 Trials,CONTROL FEEDBACK,397.522222236111,385.48000002499987,386.0348837674419,377.16842097368425,391.7906977674419,386.2487804390244,377.2341463170731,392.5693333466667
168,464:2022-11-12 09:32:43.598,5 Trials,CONTROL FEEDBACK,375.1543859649122,367.3358974358976,381.16578947368413,396.9526315789473,380.19736842105266,381.2225,357.0222222222221,376.1604166666668
169,465:2022-11-07 22:24:53.626,10 Trials,CONTROL FEEDBACK,458.9790540540539,458.7818181818182,447.3476190476191,473.11904761904754,454.72857142857146,454.66190476190485,456.23000000000013,455.86388888888894
